epoch,lr-Adam/background,lr-Adam/geometry,step,train/grad_norm,train/loss_opaque,train/loss_orient,train/loss_sds,train/loss_sparsity,train/max_step,train/min_step,train_params/lambda_opaque,train_params/lambda_orient,train_params/lambda_sds,train_params/lambda_sparsity
0,,,18,20.666189193725586,0.2303660809993744,0.01753396727144718,213.54568481445312,0.3167956471443176,980.0,20.0,0.0,13.564000129699707,1.0,1.0
,0.001,0.01,19,,,,,,,,,,,
0,,,19,23.561832427978516,0.27131491899490356,0.01852473057806492,277.5799255371094,0.3667178750038147,980.0,20.0,0.0,13.76200008392334,1.0,1.0
,0.001,0.01,20,,,,,,,,,,,
0,,,20,41.029701232910156,0.14435455203056335,0.01693136617541313,841.71826171875,0.23597902059555054,980.0,20.0,0.0,13.960000038146973,1.0,1.0
,0.001,0.01,21,,,,,,,,,,,
0,,,21,40.18605422973633,0.29315274953842163,0.018382595852017403,807.4594116210938,0.3870949149131775,980.0,20.0,0.0,14.157999992370605,1.0,1.0
,0.001,0.01,22,,,,,,,,,,,
0,,,22,4.155522346496582,0.11063544452190399,0.0172356478869915,8.634183883666992,0.20182156562805176,980.0,20.0,0.0,14.355999946594238,1.0,1.0
,0.001,0.01,23,,,,,,,,,,,
0,,,23,12.132221221923828,0.1982925832271576,0.017039217054843903,73.59539794921875,0.2895667850971222,980.0,20.0,0.0,14.553999900817871,1.0,1.0
,0.001,0.01,24,,,,,,,,,,,
0,,,24,21.59860610961914,0.3133363127708435,0.020586207509040833,233.2498779296875,0.42781588435173035,980.0,20.0,0.0,14.751999855041504,1.0,1.0
,0.001,0.01,25,,,,,,,,,,,
0,,,25,0.05884282663464546,0.18244779109954834,0.022170856595039368,0.001731238909997046,0.3051377236843109,980.0,20.0,0.0,14.949999809265137,1.0,1.0
,0.001,0.01,26,,,,,,,,,,,
0,,,26,25.633108139038086,0.21222129464149475,0.01674313098192215,328.52813720703125,0.29978740215301514,980.0,20.0,0.0,15.14799976348877,1.0,1.0
,0.001,0.01,27,,,,,,,,,,,
0,,,27,27.074607849121094,0.25676587224006653,0.021895039826631546,366.5172119140625,0.4043039083480835,980.0,20.0,0.0,15.345999717712402,1.0,1.0
,0.001,0.01,28,,,,,,,,,,,
0,,,28,2.634429454803467,0.12391185760498047,0.017437823116779327,3.470108985900879,0.21527743339538574,980.0,20.0,0.0,15.543999671936035,1.0,1.0
,0.001,0.01,29,,,,,,,,,,,
0,,,29,17.29510498046875,0.15212847292423248,0.01695585623383522,149.56033325195312,0.23950794339179993,980.0,20.0,0.0,15.741999626159668,1.0,1.0
,0.001,0.01,30,,,,,,,,,,,
0,,,30,17.97028350830078,0.26365500688552856,0.020301414653658867,161.4655303955078,0.37309810519218445,980.0,20.0,0.0,15.9399995803833,1.0,1.0
,0.001,0.01,31,,,,,,,,,,,
0,,,31,24.51204490661621,0.2545430064201355,0.019101159647107124,300.420166015625,0.35830238461494446,980.0,20.0,0.0,16.13800048828125,1.0,1.0
,0.001,0.01,32,,,,,,,,,,,
0,,,32,0.41050419211387634,0.1942022293806076,0.017588214948773384,0.0842568427324295,0.2852896451950073,980.0,20.0,0.0,16.336000442504883,1.0,1.0
,0.001,0.01,33,,,,,,,,,,,
0,,,33,47.06380081176758,0.23554781079292297,0.017693564295768738,1107.5006103515625,0.3276938796043396,980.0,20.0,0.0,16.534000396728516,1.0,1.0
,0.001,0.01,34,,,,,,,,,,,
0,,,34,1.4389290809631348,0.23725472390651703,0.017577694728970528,1.0352585315704346,0.3255457282066345,980.0,20.0,0.0,16.73200035095215,1.0,1.0
,0.001,0.01,35,,,,,,,,,,,
0,,,35,21.309490203857422,0.15376222133636475,0.01715335063636303,227.04718017578125,0.24137812852859497,980.0,20.0,0.0,16.93000030517578,1.0,1.0
,0.001,0.01,36,,,,,,,,,,,
0,,,36,11.00409984588623,0.128061905503273,0.017518047243356705,60.54510498046875,0.21751609444618225,980.0,20.0,0.0,17.128000259399414,1.0,1.0
,0.001,0.01,37,,,,,,,,,,,
0,,,37,0.2074792981147766,0.14990897476673126,0.01965412311255932,0.02152382954955101,0.24949780106544495,980.0,20.0,0.0,17.326000213623047,1.0,1.0
,0.001,0.01,38,,,,,,,,,,,
0,,,38,20.48796272277832,0.21032971143722534,0.01773856021463871,209.87831115722656,0.2989324629306793,980.0,20.0,0.0,17.52400016784668,1.0,1.0
,0.001,0.01,39,,,,,,,,,,,
0,,,39,0.41993552446365356,0.2376541793346405,0.023729145526885986,0.08817292749881744,0.3851955533027649,980.0,20.0,0.0,17.722000122070312,1.0,1.0
,0.001,0.01,40,,,,,,,,,,,
0,,,40,21.33664894104004,0.1473398208618164,0.017435606569051743,227.62628173828125,0.2380390167236328,980.0,20.0,0.0,17.920000076293945,1.0,1.0
,0.001,0.01,41,,,,,,,,,,,
0,,,41,14.261774063110352,0.1608278453350067,0.022248269990086555,101.6990966796875,0.2867903709411621,980.0,20.0,0.0,18.118000030517578,1.0,1.0
,0.001,0.01,42,,,,,,,,,,,
0,,,42,3.910598039627075,0.207556813955307,0.017244752496480942,7.646388053894043,0.2960437834262848,980.0,20.0,0.0,18.31599998474121,1.0,1.0
,0.001,0.01,43,,,,,,,,,,,
0,,,43,14.85957145690918,0.17005077004432678,0.01751815527677536,110.40342712402344,0.2612300515174866,980.0,20.0,0.0,18.513999938964844,1.0,1.0
,0.001,0.01,44,,,,,,,,,,,
0,,,44,1.1222013235092163,0.2470584362745285,0.01944415085017681,0.6296678781509399,0.33779191970825195,980.0,20.0,0.0,18.711999893188477,1.0,1.0
,0.001,0.01,45,,,,,,,,,,,
0,,,45,19.728988647460938,0.12439002096652985,0.017773041501641273,194.61648559570312,0.2131960093975067,980.0,20.0,0.0,18.90999984741211,1.0,1.0
,0.001,0.01,46,,,,,,,,,,,
0,,,46,27.99443244934082,0.22479480504989624,0.021767204627394676,391.8441467285156,0.3485298156738281,980.0,20.0,0.0,19.107999801635742,1.0,1.0
,0.001,0.01,47,,,,,,,,,,,
0,,,47,4.465721130371094,0.3007015287876129,0.022720087319612503,9.971332550048828,0.4406262934207916,980.0,20.0,0.0,19.305999755859375,1.0,1.0
,0.001,0.01,48,,,,,,,,,,,
0,,,48,20.351177215576172,0.13722693920135498,0.01820731721818447,207.085205078125,0.2271832525730133,980.0,20.0,0.0,19.503999710083008,1.0,1.0
,0.001,0.01,49,,,,,,,,,,,
0,,,49,12.196399688720703,0.10736288130283356,0.0178455151617527,74.37608337402344,0.19804251194000244,980.0,20.0,0.0,19.70199966430664,1.0,1.0
,0.001,0.01,50,,,,,,,,,,,
0,,,50,3.4343364238739014,0.25704607367515564,0.023531358689069748,5.89733362197876,0.4158754050731659,980.0,20.0,0.0,19.899999618530273,1.0,1.0
,0.001,0.01,51,,,,,,,,,,,
0,,,51,0.4578399956226349,0.18239742517471313,0.017423244193196297,0.10480871796607971,0.26529461145401,980.0,20.0,0.0,20.097999572753906,1.0,1.0
,0.001,0.01,52,,,,,,,,,,,
0,,,52,12.22816276550293,0.14572563767433167,0.01776370219886303,74.76398468017578,0.23615749180316925,980.0,20.0,0.0,20.29599952697754,1.0,1.0
,0.001,0.01,53,,,,,,,,,,,
0,,,53,21.2232608795166,0.1487264484167099,0.0175308957695961,225.21339416503906,0.2372404932975769,980.0,20.0,0.0,20.493999481201172,1.0,1.0
,0.001,0.01,54,,,,,,,,,,,
0,,,54,17.232242584228516,0.17380556464195251,0.019968418404459953,148.47509765625,0.26724135875701904,980.0,20.0,0.0,20.691999435424805,1.0,1.0
,0.001,0.01,55,,,,,,,,,,,
0,,,55,14.182515144348145,0.22924502193927765,0.018453732132911682,100.57186126708984,0.31573671102523804,980.0,20.0,0.0,20.889999389648438,1.0,1.0
,0.001,0.01,56,,,,,,,,,,,
0,,,56,6.442471504211426,0.26830554008483887,0.02247120440006256,20.75271987915039,0.40949052572250366,980.0,20.0,0.0,21.08799934387207,1.0,1.0
,0.001,0.01,57,,,,,,,,,,,
0,,,57,33.18503952026367,0.29906415939331055,0.020034130662679672,550.6234130859375,0.3968872129917145,980.0,20.0,0.0,21.285999298095703,1.0,1.0
,0.001,0.01,58,,,,,,,,,,,
0,,,58,26.70568084716797,0.14922818541526794,0.018258871510624886,356.5967102050781,0.23970700800418854,980.0,20.0,0.0,21.483999252319336,1.0,1.0
,0.001,0.01,59,,,,,,,,,,,
0,,,59,25.050806045532227,0.10573121160268784,0.017714112997055054,313.77142333984375,0.19673140347003937,980.0,20.0,0.0,21.68199920654297,1.0,1.0
,0.001,0.01,60,,,,,,,,,,,
0,,,60,23.72072410583496,0.36930131912231445,0.02260218746960163,281.3363952636719,0.4966248571872711,980.0,20.0,0.0,21.8799991607666,1.0,1.0
,0.001,0.01,61,,,,,,,,,,,
0,,,61,16.783123016357422,0.15607571601867676,0.0185378510504961,140.83660888671875,0.24814778566360474,980.0,20.0,0.0,22.077999114990234,1.0,1.0
,0.001,0.01,62,,,,,,,,,,,
0,,,62,23.99056625366211,0.2479414939880371,0.019705845043063164,287.77362060546875,0.3441985249519348,980.0,20.0,0.0,22.275999069213867,1.0,1.0
,0.001,0.01,63,,,,,,,,,,,
0,,,63,11.679802894592285,0.15691900253295898,0.01803796924650669,68.20889282226562,0.2418513298034668,980.0,20.0,0.0,22.474000930786133,1.0,1.0
,0.001,0.01,64,,,,,,,,,,,
0,,,64,4.013474464416504,0.11647635698318481,0.017625734210014343,8.05398941040039,0.20532281696796417,980.0,20.0,0.0,22.672000885009766,1.0,1.0
,0.001,0.01,65,,,,,,,,,,,
0,,,65,1.77700936794281,0.14859579503536224,0.017625344917178154,1.5788811445236206,0.23575010895729065,980.0,20.0,0.0,22.8700008392334,1.0,1.0
,0.001,0.01,66,,,,,,,,,,,
0,,,66,24.03378677368164,0.13028693199157715,0.01804237626492977,288.81146240234375,0.22098486125469208,980.0,20.0,0.0,23.06800079345703,1.0,1.0
,0.001,0.01,67,,,,,,,,,,,
0,,,67,20.326026916503906,0.23450657725334167,0.02175253815948963,206.57366943359375,0.36430245637893677,980.0,20.0,0.0,23.266000747680664,1.0,1.0
,0.001,0.01,68,,,,,,,,,,,
0,,,68,1.6419200897216797,0.20190714299678802,0.01942054182291031,1.3479506969451904,0.2938949167728424,980.0,20.0,0.0,23.464000701904297,1.0,1.0
,0.001,0.01,69,,,,,,,,,,,
0,,,69,34.670536041259766,0.3099234104156494,0.023411815986037254,601.0230712890625,0.45780694484710693,980.0,20.0,0.0,23.66200065612793,1.0,1.0
