epoch,lr-Adam/background,lr-Adam/geometry,step,train/grad_norm,train/loss_opaque,train/loss_orient,train/loss_sds,train/loss_sparsity,train/max_step,train/min_step,train_params/lambda_opaque,train_params/lambda_orient,train_params/lambda_sds,train_params/lambda_sparsity
,0.001,0.01,0,,,,,,,,,,,
0,,,0,32.53646469116211,0.25422441959381104,0.020547278225421906,529.3107299804688,0.37554261088371277,980.0,20.0,0.0,10.0,1.0,1.0
,0.001,0.01,1,,,,,,,,,,,
0,,,1,35.10987091064453,0.23311521112918854,0.01768423058092594,616.3515625,0.3291395604610443,980.0,20.0,0.0,10.197999954223633,1.0,1.0
,0.001,0.01,2,,,,,,,,,,,
0,,,2,21.235401153564453,0.12802913784980774,0.016369136050343513,225.47109985351562,0.2197834551334381,980.0,20.0,0.0,10.395999908447266,1.0,1.0
,0.001,0.01,3,,,,,,,,,,,
0,,,3,12.509209632873535,0.1116805151104927,0.016661787405610085,78.24015808105469,0.20546691119670868,980.0,20.0,0.0,10.593999862670898,1.0,1.0
,0.001,0.01,4,,,,,,,,,,,
0,,,4,5.193264484405518,0.13284233212471008,0.016345269978046417,13.48499870300293,0.22487691044807434,980.0,20.0,0.0,10.791999816894531,1.0,1.0
,0.001,0.01,5,,,,,,,,,,,
0,,,5,382.1144104003906,0.18221504986286163,0.018556667491793633,73005.7109375,0.28629016876220703,980.0,20.0,0.0,10.989999771118164,1.0,1.0
,0.001,0.01,6,,,,,,,,,,,
0,,,6,448.0070495605469,0.18038791418075562,0.02110248990356922,100355.171875,0.319244921207428,980.0,20.0,0.0,11.187999725341797,1.0,1.0
,0.001,0.01,7,,,,,,,,,,,
0,,,7,33.122344970703125,0.25318774580955505,0.020090671256184578,548.544921875,0.3840097486972809,980.0,20.0,0.0,11.38599967956543,1.0,1.0
,0.001,0.01,8,,,,,,,,,,,
0,,,8,361.7541809082031,0.12239568680524826,0.01939636841416359,65433.046875,0.22475305199623108,980.0,20.0,0.0,11.583999633789062,1.0,1.0
,0.001,0.01,9,,,,,,,,,,,
0,,,9,382.8146057128906,0.11061185598373413,0.023697713389992714,73273.515625,0.25574594736099243,980.0,20.0,0.0,11.781999588012695,1.0,1.0
,0.001,0.01,10,,,,,,,,,,,
0,,,10,13.795975685119629,0.12138950824737549,0.01653474010527134,95.16447448730469,0.2128118872642517,980.0,20.0,0.0,11.979999542236328,1.0,1.0
,0.001,0.01,11,,,,,,,,,,,
0,,,11,24.95366859436035,0.1869591772556305,0.017785951495170593,311.3427734375,0.2851209044456482,980.0,20.0,0.0,12.178000450134277,1.0,1.0
,0.001,0.01,12,,,,,,,,,,,
0,,,12,124.63172149658203,0.11245808750391006,0.016414636746048927,7766.533203125,0.20430125296115875,980.0,20.0,0.0,12.37600040435791,1.0,1.0
,0.001,0.01,13,,,,,,,,,,,
