epoch,lr-Adam,step,train/grad_norm,train/loss_opaque,train/loss_sds,train/loss_sparsity,train/max_step,train/min_step,train_params/lambda_opaque,train_params/lambda_orient,train_params/lambda_sds,train_params/lambda_sparsity
,0.001,0,,,,,,,,,,
0,,0,205.10723876953125,0.1097792536020279,21034.48828125,0.26436734199523926,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.00109,1,,,,,,,,,,
0,,1,76.15542602539062,0.16129745543003082,2899.824462890625,0.3400309085845947,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.00118,2,,,,,,,,,,
0,,2,96.5295639038086,0.20715555548667908,4658.978515625,0.42397254705429077,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.00127,3,,,,,,,,,,
0,,3,98.38672637939453,0.09701408445835114,4839.97412109375,0.2441640943288803,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0013600000000000003,4,,,,,,,,,,
0,,4,27.800445556640625,0.23784779012203217,386.43243408203125,0.5419087409973145,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0014500000000000003,5,,,,,,,,,,
0,,5,209.21861267089844,0.33098283410072327,21886.212890625,0.791512131690979,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0015400000000000001,6,,,,,,,,,,
0,,6,36.038360595703125,0.11134418845176697,649.3817138671875,0.2931392788887024,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0016300000000000002,7,,,,,,,,,,
0,,7,139.37435913085938,0.1701810359954834,9712.60546875,0.3555247485637665,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.00172,8,,,,,,,,,,
0,,8,154.64938354492188,0.14093023538589478,11958.21484375,0.36453354358673096,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0018100000000000002,9,,,,,,,,,,
0,,9,157.12713623046875,0.1671971082687378,12344.4677734375,0.3429661691188812,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0019000000000000002,10,,,,,,,,,,
0,,10,211.2262420654297,0.14849117398262024,22308.26171875,0.3210916519165039,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.00199,11,,,,,,,,,,
0,,11,132.4451904296875,0.10632984340190887,8770.86328125,0.2584078311920166,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0020800000000000003,12,,,,,,,,,,
0,,12,177.32400512695312,0.11094649136066437,15721.900390625,0.35203033685684204,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0021700000000000005,13,,,,,,,,,,
0,,13,149.0457000732422,0.18914145231246948,11107.3095703125,0.4591704308986664,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0022600000000000003,14,,,,,,,,,,
0,,14,35.964439392089844,0.28408828377723694,646.720458984375,0.5712562799453735,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.00235,15,,,,,,,,,,
0,,15,47.722721099853516,0.13693846762180328,1138.7288818359375,0.3091902434825897,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.00244,16,,,,,,,,,,
0,,16,117.2503662109375,0.1289091408252716,6873.82470703125,0.2981160283088684,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0025299999999999997,17,,,,,,,,,,
0,,17,80.06542205810547,0.14707958698272705,3205.23583984375,0.34093552827835083,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.00262,18,,,,,,,,,,
0,,18,224.90745544433594,0.2936013340950012,25291.68359375,0.8253147602081299,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0027099999999999997,19,,,,,,,,,,
0,,19,126.42423248291016,0.21150660514831543,7991.54345703125,0.4191991686820984,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0027999999999999995,20,,,,,,,,,,
0,,20,186.3996124267578,0.2057490050792694,17372.408203125,0.4538407027721405,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0028899999999999998,21,,,,,,,,,,
0,,21,122.73726654052734,0.11650805175304413,7532.21875,0.37196797132492065,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.00298,22,,,,,,,,,,
0,,22,32.661712646484375,0.1851266324520111,533.3936767578125,0.4764155447483063,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0030700000000000002,23,,,,,,,,,,
0,,23,216.32949829101562,0.17460313439369202,23399.228515625,0.5056057572364807,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0031600000000000005,24,,,,,,,,,,
0,,24,161.44354248046875,0.18645554780960083,13032.009765625,0.418717622756958,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0032500000000000003,25,,,,,,,,,,
0,,25,2.0106964111328125,0.17179816961288452,2.0214500427246094,0.36745959520339966,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.00334,26,,,,,,,,,,
0,,26,194.8374786376953,0.20231518149375916,18980.82421875,0.5209326148033142,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.00343,27,,,,,,,,,,
0,,27,100.64913177490234,0.25703758001327515,5065.12353515625,0.5963333249092102,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0035199999999999997,28,,,,,,,,,,
0,,28,24.260168075561523,0.276873379945755,294.27789306640625,0.6606631875038147,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.00361,29,,,,,,,,,,
0,,29,47.57551193237305,0.13039642572402954,1131.7144775390625,0.2969394028186798,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0036999999999999997,30,,,,,,,,,,
0,,30,227.83206176757812,0.16122394800186157,25953.724609375,0.4713025987148285,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0037899999999999995,31,,,,,,,,,,
0,,31,216.17575073242188,0.10542142391204834,23365.9765625,0.3500913977622986,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0038799999999999993,32,,,,,,,,,,
