epoch,lr-Adam,step,train/grad_norm,train/loss_opaque,train/loss_sds,train/loss_sparsity,train/max_step,train/min_step,train_params/lambda_opaque,train_params/lambda_orient,train_params/lambda_sds,train_params/lambda_sparsity
,0.001,0,,,,,,,,,,
0,,0,184.2185821533203,0.11160159111022949,16968.2421875,0.26523903012275696,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.00109,1,,,,,,,,,,
0,,1,129.02537536621094,0.16217973828315735,8323.7734375,0.34078848361968994,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.00118,2,,,,,,,,,,
0,,2,110.38513946533203,0.2071075439453125,6092.439453125,0.4245222508907318,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.00127,3,,,,,,,,,,
0,,3,114.38104248046875,0.09845927357673645,6541.51123046875,0.24455472826957703,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0013600000000000003,4,,,,,,,,,,
0,,4,32.796424865722656,0.23916149139404297,537.802734375,0.5425117015838623,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0014500000000000003,5,,,,,,,,,,
0,,5,102.45734405517578,0.33118924498558044,5248.75390625,0.7915915846824646,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0015400000000000001,6,,,,,,,,,,
0,,6,33.82548141479492,0.11171077936887741,572.08154296875,0.2936941981315613,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0016300000000000002,7,,,,,,,,,,
0,,7,146.29769897460938,0.1712723672389984,10701.5078125,0.35602760314941406,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.00172,8,,,,,,,,,,
0,,8,96.41373443603516,0.14197275042533875,4647.8046875,0.3648923337459564,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0018100000000000002,9,,,,,,,,,,
0,,9,109.98159790039062,0.16697543859481812,6047.97607421875,0.34345197677612305,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0019000000000000002,10,,,,,,,,,,
0,,10,238.1178436279297,0.14879465103149414,28350.0546875,0.32136064767837524,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.00199,11,,,,,,,,,,
0,,11,222.62155151367188,0.10708066076040268,24780.177734375,0.25867506861686707,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0020800000000000003,12,,,,,,,,,,
0,,12,97.2706298828125,0.11041560769081116,4730.78759765625,0.35226768255233765,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0021700000000000005,13,,,,,,,,,,
0,,13,119.85151672363281,0.18981492519378662,7182.19384765625,0.46176445484161377,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0022600000000000003,14,,,,,,,,,,
0,,14,37.08055877685547,0.2832854092121124,687.48388671875,0.5708224177360535,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.00235,15,,,,,,,,,,
0,,15,41.313720703125,0.13827282190322876,853.4117431640625,0.3093787431716919,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.00244,16,,,,,,,,,,
0,,16,113.86846923828125,0.12971022725105286,6483.0146484375,0.2982974052429199,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0025299999999999997,17,,,,,,,,,,
0,,17,107.31423950195312,0.14776702225208282,5758.1728515625,0.3412449359893799,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.00262,18,,,,,,,,,,
0,,18,214.97100830078125,0.2940293550491333,23106.265625,0.8270760178565979,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0027099999999999997,19,,,,,,,,,,
0,,19,152.5842742919922,0.21042630076408386,11640.98046875,0.41894960403442383,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0027999999999999995,20,,,,,,,,,,
0,,20,198.04087829589844,0.20615154504776,19610.09375,0.45409494638442993,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0028899999999999998,21,,,,,,,,,,
0,,21,128.50106811523438,0.1164851039648056,8256.259765625,0.37234947085380554,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.00298,22,,,,,,,,,,
0,,22,42.988182067871094,0.18635906279087067,923.9918212890625,0.47810906171798706,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0030700000000000002,23,,,,,,,,,,
0,,23,233.770751953125,0.17395514249801636,27324.380859375,0.5052605867385864,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0031600000000000005,24,,,,,,,,,,
0,,24,177.9733123779297,0.1874263882637024,15837.25,0.41959720849990845,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0032500000000000003,25,,,,,,,,,,
0,,25,1.486844778060913,0.17381209135055542,1.105353593826294,0.3689790964126587,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.00334,26,,,,,,,,,,
0,,26,101.4546890258789,0.20273134112358093,5146.52685546875,0.5223167538642883,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.00343,27,,,,,,,,,,
0,,27,144.55369567871094,0.25764548778533936,10447.8857421875,0.5987467765808105,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0035199999999999997,28,,,,,,,,,,
0,,28,27.04421043395996,0.27832937240600586,365.6946105957031,0.6614894270896912,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.00361,29,,,,,,,,,,
0,,29,49.64168167114258,0.1308586597442627,1232.148193359375,0.2975153923034668,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0036999999999999997,30,,,,,,,,,,
0,,30,342.0844421386719,0.16232717037200928,58510.8828125,0.4727487564086914,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0037899999999999995,31,,,,,,,,,,
0,,31,191.5249786376953,0.10673277080059052,18340.91015625,0.351013720035553,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.0038799999999999993,32,,,,,,,,,,
0,,32,8.856119155883789,0.19931043684482574,39.215423583984375,0.49472925066947937,980.0,20.0,0.0,0.0,1.0,0.0005000000237487257
,0.003969999999999999,33,,,,,,,,,,
