epoch,lr-Adam/background,lr-Adam/geometry,step,train/grad_norm,train/loss_opaque,train/loss_orient,train/loss_sds,train/loss_sparsity,train/max_step,train/min_step,train_params/lambda_opaque,train_params/lambda_orient,train_params/lambda_sds,train_params/lambda_sparsity
,0.001,0.01,0,,,,,,,,,,,
0,,,0,31.527973175048828,0.2549811005592346,0.020543687045574188,497.0065612792969,0.37561774253845215,980.0,20.0,0.0,10.0,1.0,1.0
,0.001,0.01,1,,,,,,,,,,,
0,,,1,45.57147979736328,0.2327841967344284,0.017655206844210625,1038.3798828125,0.3289988040924072,980.0,20.0,0.0,10.197999954223633,1.0,1.0
,0.001,0.01,2,,,,,,,,,,,
0,,,2,25.331518173217773,0.1279798150062561,0.016193624585866928,320.8428955078125,0.2197401076555252,980.0,20.0,0.0,10.395999908447266,1.0,1.0
,0.001,0.01,3,,,,,,,,,,,
0,,,3,15.038501739501953,0.11154604703187943,0.01664106361567974,113.07826232910156,0.20544788241386414,980.0,20.0,0.0,10.593999862670898,1.0,1.0
,0.001,0.01,4,,,,,,,,,,,
0,,,4,6.658849239349365,0.13301822543144226,0.016405250877141953,22.170137405395508,0.22486570477485657,980.0,20.0,0.0,10.791999816894531,1.0,1.0
,0.001,0.01,5,,,,,,,,,,,
0,,,5,365.3138732910156,0.18267220258712769,0.01845555379986763,66727.1171875,0.28627175092697144,980.0,20.0,0.0,10.989999771118164,1.0,1.0
,0.001,0.01,6,,,,,,,,,,,
0,,,6,463.8464050292969,0.18047308921813965,0.02104707434773445,107576.75,0.31910866498947144,980.0,20.0,0.0,11.187999725341797,1.0,1.0
,0.001,0.01,7,,,,,,,,,,,
0,,,7,39.9758186340332,0.2534184455871582,0.019955333322286606,799.0330810546875,0.38384589552879333,980.0,20.0,0.0,11.38599967956543,1.0,1.0
,0.001,0.01,8,,,,,,,,,,,
0,,,8,410.5442199707031,0.12225452065467834,0.019316526129841805,84273.28125,0.22464829683303833,980.0,20.0,0.0,11.583999633789062,1.0,1.0
,0.001,0.01,9,,,,,,,,,,,
0,,,9,96.93846893310547,0.11011049151420593,0.023828554898500443,4698.533203125,0.25569984316825867,980.0,20.0,0.0,11.781999588012695,1.0,1.0
,0.001,0.01,10,,,,,,,,,,,
0,,,10,25.744491577148438,0.12142642587423325,0.016317743808031082,331.389404296875,0.2128443866968155,980.0,20.0,0.0,11.979999542236328,1.0,1.0
,0.001,0.01,11,,,,,,,,,,,
0,,,11,30.010757446289062,0.18651863932609558,0.017817985266447067,450.32275390625,0.28519314527511597,980.0,20.0,0.0,12.178000450134277,1.0,1.0
,0.001,0.01,12,,,,,,,,,,,
0,,,12,138.0351104736328,0.11233396828174591,0.016329016536474228,9526.845703125,0.20431697368621826,980.0,20.0,0.0,12.37600040435791,1.0,1.0
,0.001,0.01,13,,,,,,,,,,,
0,,,13,67.11547088623047,0.13881270587444305,0.016484335064888,2252.2431640625,0.23163755238056183,980.0,20.0,0.0,12.574000358581543,1.0,1.0
,0.001,0.01,14,,,,,,,,,,,
0,,,14,15.619997024536133,0.10786640644073486,0.016583604738116264,121.99215698242188,0.20108942687511444,980.0,20.0,0.0,12.772000312805176,1.0,1.0
,0.001,0.01,15,,,,,,,,,,,
0,,,15,392.4936828613281,0.1960555464029312,0.01775350794196129,77025.640625,0.2945619821548462,980.0,20.0,0.0,12.970000267028809,1.0,1.0
,0.001,0.01,16,,,,,,,,,,,
0,,,16,8.807106018066406,0.2537267804145813,0.02083081565797329,38.782554626464844,0.3865753412246704,980.0,20.0,0.0,13.168000221252441,1.0,1.0
,0.001,0.01,17,,,,,,,,,,,
0,,,17,50.58530807495117,0.25688034296035767,0.019561484456062317,1279.4366455078125,0.3623986840248108,980.0,20.0,0.0,13.366000175476074,1.0,1.0
,0.001,0.01,18,,,,,,,,,,,
0,,,18,65.57138061523438,0.24366670846939087,0.017988108098506927,2149.802734375,0.33384525775909424,980.0,20.0,0.0,13.564000129699707,1.0,1.0
,0.001,0.01,19,,,,,,,,,,,
0,,,19,92.95814514160156,0.1287185400724411,0.01703661121428013,4320.6083984375,0.2219008207321167,980.0,20.0,0.0,13.76200008392334,1.0,1.0
,0.001,0.01,20,,,,,,,,,,,
0,,,20,53.22127151489258,0.3387346863746643,0.018554026260972023,1416.251953125,0.4348948001861572,980.0,20.0,0.0,13.960000038146973,1.0,1.0
,0.001,0.01,21,,,,,,,,,,,
0,,,21,22.190147399902344,0.3279740810394287,0.02342781238257885,246.20130920410156,0.5098937153816223,980.0,20.0,0.0,14.157999992370605,1.0,1.0
,0.001,0.01,22,,,,,,,,,,,
0,,,22,405.5895690917969,0.16784420609474182,0.016932541504502296,82251.453125,0.2610017657279968,980.0,20.0,0.0,14.355999946594238,1.0,1.0
,0.001,0.01,23,,,,,,,,,,,
0,,,23,237.3811798095703,0.16970735788345337,0.019547417759895325,28174.9140625,0.28594568371772766,980.0,20.0,0.0,14.553999900817871,1.0,1.0
,0.001,0.01,24,,,,,,,,,,,
0,,,24,6.744287014007568,0.1458817422389984,0.016685690730810165,22.74270248413086,0.2368791103363037,980.0,20.0,0.0,14.751999855041504,1.0,1.0
,0.001,0.01,25,,,,,,,,,,,
0,,,25,41.918846130371094,0.28980132937431335,0.018815765157341957,878.5949096679688,0.3954904079437256,980.0,20.0,0.0,14.949999809265137,1.0,1.0
,0.001,0.01,26,,,,,,,,,,,
0,,,26,53.85045623779297,0.13908450305461884,0.016313273459672928,1449.935791015625,0.22833210229873657,980.0,20.0,0.0,15.14799976348877,1.0,1.0
,0.001,0.01,27,,,,,,,,,,,
0,,,27,138.2318115234375,0.18201231956481934,0.01654183678328991,9554.017578125,0.2714344561100006,980.0,20.0,0.0,15.345999717712402,1.0,1.0
,0.001,0.01,28,,,,,,,,,,,
0,,,28,244.82505798339844,0.32161593437194824,0.022604577243328094,29969.654296875,0.48878613114356995,980.0,20.0,0.0,15.543999671936035,1.0,1.0
,0.001,0.01,29,,,,,,,,,,,
0,,,29,124.20287322998047,0.37492555379867554,0.02049127407371998,7713.177734375,0.48907557129859924,980.0,20.0,0.0,15.741999626159668,1.0,1.0
,0.001,0.01,30,,,,,,,,,,,
0,,,30,173.35324096679688,0.2085747867822647,0.018124353140592575,15025.673828125,0.3069295883178711,980.0,20.0,0.0,15.9399995803833,1.0,1.0
,0.001,0.01,31,,,,,,,,,,,
0,,,31,47.64746856689453,0.29733529686927795,0.02146316133439541,1135.140625,0.44337791204452515,980.0,20.0,0.0,16.13800048828125,1.0,1.0
,0.001,0.01,32,,,,,,,,,,,
0,,,32,267.87762451171875,0.14983078837394714,0.02207743190228939,35879.2109375,0.28582608699798584,980.0,20.0,0.0,16.336000442504883,1.0,1.0
,0.001,0.01,33,,,,,,,,,,,
0,,,33,96.16483306884766,0.2522739768028259,0.020942365750670433,4623.837890625,0.37446069717407227,980.0,20.0,0.0,16.534000396728516,1.0,1.0
,0.001,0.01,34,,,,,,,,,,,
0,,,34,19.078195571899414,0.28073012828826904,0.01824096404016018,181.98876953125,0.37615782022476196,980.0,20.0,0.0,16.73200035095215,1.0,1.0
,0.001,0.01,35,,,,,,,,,,,
0,,,35,56.650299072265625,0.26172173023223877,0.01754259690642357,1604.628173828125,0.35226863622665405,980.0,20.0,0.0,16.93000030517578,1.0,1.0
,0.001,0.01,36,,,,,,,,,,,
0,,,36,138.22796630859375,0.25858551263809204,0.019499171525239944,9553.484375,0.3664401173591614,980.0,20.0,0.0,17.128000259399414,1.0,1.0
,0.001,0.01,37,,,,,,,,,,,
0,,,37,153.638671875,0.2218567579984665,0.017054781317710876,11802.4208984375,0.31225258111953735,980.0,20.0,0.0,17.326000213623047,1.0,1.0
,0.001,0.01,38,,,,,,,,,,,
0,,,38,147.5491943359375,0.2012787163257599,0.02194144017994404,10885.3828125,0.34767791628837585,980.0,20.0,0.0,17.52400016784668,1.0,1.0
,0.001,0.01,39,,,,,,,,,,,
0,,,39,52.20841598510742,0.14992794394493103,0.017112314701080322,1362.8592529296875,0.2428525984287262,980.0,20.0,0.0,17.722000122070312,1.0,1.0
,0.001,0.01,40,,,,,,,,,,,
0,,,40,19.958566665649414,0.10548853874206543,0.017225779592990875,199.17218017578125,0.19846364855766296,980.0,20.0,0.0,17.920000076293945,1.0,1.0
,0.001,0.01,41,,,,,,,,,,,
0,,,41,184.42820739746094,0.23659707605838776,0.022086014971137047,17006.87890625,0.37560832500457764,980.0,20.0,0.0,18.118000030517578,1.0,1.0
,0.001,0.01,42,,,,,,,,,,,
0,,,42,74.82569885253906,0.24350281059741974,0.01755296066403389,2799.44287109375,0.3376310467720032,980.0,20.0,0.0,18.31599998474121,1.0,1.0
,0.001,0.01,43,,,,,,,,,,,
0,,,43,119.4864730834961,0.14352059364318848,0.0167153999209404,7138.5087890625,0.23287592828273773,980.0,20.0,0.0,18.513999938964844,1.0,1.0
,0.001,0.01,44,,,,,,,,,,,
0,,,44,51.77731704711914,0.1732838749885559,0.01721992902457714,1340.4453125,0.2670001983642578,980.0,20.0,0.0,18.711999893188477,1.0,1.0
,0.001,0.01,45,,,,,,,,,,,
0,,,45,134.64205932617188,0.15774652361869812,0.016877630725502968,9064.2421875,0.24656331539154053,980.0,20.0,0.0,18.90999984741211,1.0,1.0
,0.001,0.01,46,,,,,,,,,,,
0,,,46,24.085079193115234,0.17081651091575623,0.020970381796360016,290.0455017089844,0.2877759635448456,980.0,20.0,0.0,19.107999801635742,1.0,1.0
,0.001,0.01,47,,,,,,,,,,,
0,,,47,123.8655014038086,0.14560145139694214,0.01705941930413246,7671.33154296875,0.23804497718811035,980.0,20.0,0.0,19.305999755859375,1.0,1.0
,0.001,0.01,48,,,,,,,,,,,
0,,,48,22.968111038208008,0.19735434651374817,0.0182286836206913,263.7670593261719,0.2939384877681732,980.0,20.0,0.0,19.503999710083008,1.0,1.0
,0.001,0.01,49,,,,,,,,,,,
0,,,49,76.91899108886719,0.10208308696746826,0.01716301217675209,2958.265380859375,0.19429165124893188,980.0,20.0,0.0,19.70199966430664,1.0,1.0
,0.001,0.01,50,,,,,,,,,,,
0,,,50,68.33975982666016,0.13107560575008392,0.017209965735673904,2335.16162109375,0.22360309958457947,980.0,20.0,0.0,19.899999618530273,1.0,1.0
,0.001,0.01,51,,,,,,,,,,,
0,,,51,12.219103813171387,0.17120078206062317,0.017283489927649498,74.65324401855469,0.2642199397087097,980.0,20.0,0.0,20.097999572753906,1.0,1.0
,0.001,0.01,52,,,,,,,,,,,
