epoch,lr-Adam/background,lr-Adam/geometry,step,train/grad_norm,train/loss_opaque,train/loss_orient,train/loss_sds,train/loss_sparsity,train/max_step,train/min_step,train_params/lambda_opaque,train_params/lambda_orient,train_params/lambda_sds,train_params/lambda_sparsity
,0.001,0.01,0,,,,,,,,,,,
0,,,0,31.830827713012695,0.2549811005592346,0.020543687045574188,506.6007995605469,0.37561774253845215,980.0,20.0,0.0,10.0,1.0,1.0
,0.001,0.01,1,,,,,,,,,,,
0,,,1,49.89408874511719,0.2327841967344284,0.017655206844210625,1244.7099609375,0.3289988040924072,980.0,20.0,0.0,10.197999954223633,1.0,1.0
,0.001,0.01,2,,,,,,,,,,,
0,,,2,28.844608306884766,0.1279798150062561,0.016193624585866928,416.0057067871094,0.2197401076555252,980.0,20.0,0.0,10.395999908447266,1.0,1.0
,0.001,0.01,3,,,,,,,,,,,
0,,,3,20.708229064941406,0.11154604703187943,0.01664106361567974,214.4153594970703,0.20544788241386414,980.0,20.0,0.0,10.593999862670898,1.0,1.0
,0.001,0.01,4,,,,,,,,,,,
0,,,4,8.593483924865723,0.13301822543144226,0.016405250877141953,36.923980712890625,0.22486570477485657,980.0,20.0,0.0,10.791999816894531,1.0,1.0
,0.001,0.01,5,,,,,,,,,,,
0,,,5,394.9984436035156,0.18267220258712769,0.01845555379986763,78011.890625,0.28627175092697144,980.0,20.0,0.0,10.989999771118164,1.0,1.0
,0.001,0.01,6,,,,,,,,,,,
0,,,6,485.439453125,0.18047308921813965,0.02104707434773445,117825.734375,0.31910866498947144,980.0,20.0,0.0,11.187999725341797,1.0,1.0
,0.001,0.01,7,,,,,,,,,,,
0,,,7,46.714332580566406,0.2534184455871582,0.019955333322286606,1091.114501953125,0.38384589552879333,980.0,20.0,0.0,11.38599967956543,1.0,1.0
,0.001,0.01,8,,,,,,,,,,,
0,,,8,387.07061767578125,0.12225451320409775,0.019316526129841805,74911.8359375,0.22464829683303833,980.0,20.0,0.0,11.583999633789062,1.0,1.0
,0.001,0.01,9,,,,,,,,,,,
0,,,9,244.76177978515625,0.11011047661304474,0.023828554898500443,29954.1640625,0.25569984316825867,980.0,20.0,0.0,11.781999588012695,1.0,1.0
,0.001,0.01,10,,,,,,,,,,,
0,,,10,31.239856719970703,0.12142053246498108,0.016318170353770256,487.96429443359375,0.2128315567970276,980.0,20.0,0.0,11.979999542236328,1.0,1.0
,0.001,0.01,11,,,,,,,,,,,
0,,,11,54.475013732910156,0.18650010228157043,0.01781512424349785,1483.763671875,0.28515398502349854,980.0,20.0,0.0,12.178000450134277,1.0,1.0
,0.001,0.01,12,,,,,,,,,,,
0,,,12,237.2887420654297,0.11231651157140732,0.016314158216118813,28152.9765625,0.20429545640945435,980.0,20.0,0.0,12.37600040435791,1.0,1.0
,0.001,0.01,13,,,,,,,,,,,
0,,,13,56.718894958496094,0.1387930065393448,0.01648298092186451,1608.5166015625,0.2316129207611084,980.0,20.0,0.0,12.574000358581543,1.0,1.0
,0.001,0.01,14,,,,,,,,,,,
